1) 0.0	: 19.64969602801709
374) 173.51216219067106	: 14.987030078100243
375) 173.9773422501635	: 13.971138390728305
376) 174.4425223096559	: 16.53749661445067
377) 174.90770236914832	: 14.444143530075404
378) 175.37288242864074	: 15.06634801730107
379) 175.83806248813315	: 15.695915764395384
380) 176.30324254762556	: 16.263957692617723
381) 176.768422607118	: 14.782180945292982
382) 177.2336026666104	: 15.314630821501131
383) 177.69878272610282	: 15.773051940654549
384) 178.16396278559523	: 14.917636751202679
385) 178.62914284508764	: 14.565178027941439
386) 179.09432290458005	: 14.623862003211178
387) 179.5595029640725	: 14.099224674245747
388) 180.0246830235649	: 15.510189717529334
389) 180.48986308305732	: 14.831981936189191
390) 180.95504314254973	: 12.75520968212991
391) 181.42022320204214	: 13.906640980216249
392) 181.88540326153455	: 15.52087892015562
393) 182.350583321027	: 14.054684121924833
394) 182.8157633805194	: 15.736595514581646
395) 183.2809434400118	: 15.737784947776282
396) 183.74612349950422	: 15.390858800906141
397) 184.21130355899663	: 15.59072396779176
398) 184.67648361848904	: 14.614191442465387
399) 185.14166367798148	: 14.187150411625856
400) 185.6068437374739	: 13.819674003142527
401) 186.0720237969663	: 15.431212065946088
402) 186.53720385645872	: 15.869581780317414
403) 187.00238391595113	: 14.556643897681289
404) 187.46756397544354	: 13.187884962989978
405) 187.93274403493595	: 14.928703540837015
406) 188.3979240944284	: 14.535370558853998
407) 188.8631041539208	: 15.017538137823106
408) 189.3282842134132	: 15.926188098028394
409) 189.79346427290562	: 14.24413275947181
410) 190.25864433239803	: 16.031310403884685
411) 190.72382439189045	: 11.147907281377623
412) 191.18900445138289	: 14.993940960517287
413) 191.6541845108753	: 15.329171705617279
414) 192.1193645703677	: 14.725141137011708
415) 192.58454462986012	: 10.533113996268758
416) 193.04972468935253	: 15.122474088847397
417) 193.51490474884494	: 15.69226825813837
418) 193.98008480833738	: 15.01827369957696
419) 194.4452648678298	: 14.162742094576481
420) 194.9104449273222	: 14.936995341410348
421) 195.3756249868146	: 14.349621200894806
422) 195.84080504630703	: 13.543177931682738
423) 196.30598510579944	: 15.655916256960193
424) 196.77116516529188	: 14.597907624100435
425) 197.2363452247843	: 15.43793506052953
426) 197.7015252842767	: 16.294807104581256
427) 198.1667053437691	: 14.879878565738874
428) 198.63188540326152	: 14.983407057680804
429) 199.09706546275393	: 15.033126201033422
430) 199.56224552224637	: 12.764624473211411
431) 200.02742558173878	: 14.471597877356675
432) 200.4926056412312	: 15.960608834714975
433) 200.9577857007236	: 14.061559782058652
434) 201.42296576021602	: 14.852673066195214
435) 201.88814581970843	: 16.590058909831825
436) 202.35332587920087	: 15.472083354272163
437) 202.81850593869328	: 14.682455729215741
438) 203.2836859981857	: 16.856608383336816
439) 203.7488660576781	: 13.653865393605548
